Date,R1_SRP,R1_TP,R1_TDP,H1_SRP,H1_TP,H1_TDP
2006-02-28,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-03-01,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-03-02,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-03-03,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-03-04,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-03-05,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-03-06,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-03-07,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-03-08,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-03-09,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-03-10,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-03-11,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-03-12,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-03-13,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-03-14,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-03-15,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-03-16,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-03-17,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-03-18,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-03-19,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-03-20,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-03-21,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-03-22,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-03-23,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-03-24,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-03-25,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-03-26,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-03-27,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-03-28,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-03-29,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-03-30,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-03-31,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2006-04-01,666.1525092,2101.648143,910.1842674,925.1449625,2164.746551,1230.522455
2006-04-02,666.1525092,2101.648143,910.1842674,925.2731223,2165.49359,1230.721655
2006-04-03,666.1879635,2101.78217,910.2247104,925.4879253,2166.745669,1231.055525
2006-04-04,666.8441799,2104.262856,910.9732612,926.082101,2170.209098,1231.979056
2006-04-05,669.6298385,2114.793442,914.1508823,933.1515829,2211.416852,1242.967202
2006-04-06,673.0996743,2127.910414,918.1089494,955.6876424,2342.778727,1277.99516
2006-04-07,682.4284238,2163.175754,928.750322,997.2049285,2516.617344,1342.28688
2006-04-08,750.3447066,2419.918722,1006.222922,1056.774686,2662.144524,1434.169676
2006-04-09,995.2803358,3074.367711,1289.852142,1134.584023,2852.230464,1554.185935
2006-04-10,1229.468955,3524.904272,1563.766001,1211.440873,3039.989505,1672.733038
2006-04-11,1395.748875,3844.796775,1758.25186,1270.573963,3205.149705,1764.772639
2006-04-12,1534.698434,4112.110604,1920.771329,1314.762042,3349.210665,1834.378641
2006-04-13,1672.782788,4377.759934,2082.278829,1352.93829,3473.671987,1894.514676
2006-04-14,1776.680156,4577.639685,2203.800229,1385.56268,3580.033274,1945.905309
2006-04-15,1871.73622,4760.510366,2314.980583,1413.095189,3634.373725,1989.275102
2006-04-16,1958.657535,4927.731261,2416.646296,1435.995793,3679.572262,2025.34862
2006-04-17,2039.249004,5082.774677,2510.908436,1454.724467,3716.536731,2054.850425
2006-04-18,2066.938151,5192.478917,2544.889261,1469.741187,3746.174979,2078.505081
2006-04-19,2092.418499,5293.431906,2576.159392,1476.675097,3769.394852,2090.172998
2006-04-20,2116.757512,5389.862935,2606.028847,1484.581983,3795.872969,2103.478173
2006-04-21,2137.974861,5473.925952,2632.067319,1490.912477,3817.07216,2114.130703
2006-04-22,2156.487299,5547.272121,2654.786252,1496.647423,3836.277013,2123.781084
2006-04-23,2171.908091,5608.36921,2673.711041,1501.879556,3853.798075,2132.585366
2006-04-24,2185.7592,5663.247227,2690.709475,1506.223497,3868.344811,2139.895057
2006-04-25,2198.283767,5712.869486,2706.079941,1509.873592,3880.568038,2146.037192
2006-04-26,2209.456041,5757.133974,2719.790841,1514.114592,3894.770052,2153.173662
