id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
714233305425574509,Studio en  Neuchatel Cuadrante Polanco  piso 23,226689423,Alejandro,,Miguel Hidalgo,19.4449746,-99.2012257,Entire home/apt,2000,2,0,,,1,347,0,
712310421672651204,Loft hermoso a 5 minutos del Aeropuerto,476416470,Fernanda,,Venustiano Carranza,19.4184454,-99.09496329999999,Entire home/apt,2371,1,0,,,2,349,0,
714344371170247952,Cool flat | Balcony | Reforma,416155974,Yakaré,,Cuauhtémoc,19.429185086473087,-99.1628592220453,Entire home/apt,1098,1,0,,,13,365,0,
712355580887428859,w* | Modern 2BR in Polanco,16148871,Wynwood,,Miguel Hidalgo,19.42956,-99.19094,Entire home/apt,2262,1,1,2022-09-17,1,83,357,1,
714364415239861475,Cómodo cuarto que incluye sesión de fotos neón.,479205186,Carlos,,Cuauhtémoc,19.431817040707397,-99.17219401372287,Private room,719,1,0,,,1,365,0,
712367162717657372,Apartamento completo en Polanco cerca de auditorio,478853493,Rodolfo,,Miguel Hidalgo,19.42906863344225,-99.19377114913553,Entire home/apt,700,1,0,,,1,329,0,
712374333861271652,PH 3 pisos con -Roofgarden privado -Fast wifi,328099158,Paulina,,Cuauhtémoc,19.423113689184113,-99.16902732212785,Entire home/apt,4000,30,0,,,1,342,0,
714365293957605791,Bonito departamento en el corazón de la condesa.,97334665,Nabile,,Cuauhtémoc,19.41049323429545,-99.17602982206193,Entire home/apt,813,3,0,,,1,7,0,
712451242446100670,Casa nueva acabados de lujo cerca del aeropuerto,159653337,Daniel,,Gustavo A. Madero,19.449283517854248,-99.07242855301789,Entire home/apt,1056,1,0,,,2,331,0,
714400037931646077,Penthouse in Condesa ¡Great Location & HomeOffice!,462261014,Magno,,Cuauhtémoc,19.41571662535189,-99.17891878964096,Entire home/apt,1372,2,0,,,9,301,0,
714404489427482478,Habitación doble en Hotel Boutique,178034362,Felix,,Miguel Hidalgo,19.43146191135752,-99.19428918552309,Private room,3600,1,0,,,7,351,0,
712452943488297363,Casa particular con patio cerca de La Villa,478867253,Ricardo,,Gustavo A. Madero,19.4687149574367,-99.12001227916707,Private room,320,1,0,,,1,311,0,
714405811844467437,Habitación compartida mixta en Centro Histórico,476408422,Barrio,,Cuauhtémoc,19.4306364,-99.13867549999999,Shared room,320,1,0,,,4,114,0,
712462399331352747,Amplio departamento con desayuno incluido.,81902258,Alejandro,,Miguel Hidalgo,19.39940776565228,-99.17173390991364,Entire home/apt,821,1,1,2022-09-18,1,3,355,1,
714408838435583530,The most exclusive quarter with private terrace,87539949,Nayeli,,Miguel Hidalgo,19.432336903996607,-99.19098270222462,Entire home/apt,2453,2,0,,,12,71,0,
712486965724936307,Espacio Inteligente 2.0,128766659,Ariadna,,Benito Juárez,19.390232061436603,-99.18351363721409,Entire home/apt,640,7,0,,,2,307,0,
714462569424516663,Habitación con vista al jardín,471893398,Casa Suspiros,,Miguel Hidalgo,19.413820898840576,-99.21687929432494,Private room,1200,1,0,,,12,75,0,
714465986999906520,Cómodas habitaciones en Virreyes,471893398,Casa Suspiros,,Miguel Hidalgo,19.414127263999596,-99.21602379316592,Private room,3150,1,0,,,12,74,0,
712516651448931706,"Lovely Apt, Private Terrace, Parking, Pool,Gym, &+",3919211,Víctor,,Miguel Hidalgo,19.442711869599567,-99.20070868771677,Entire home/apt,1304,3,0,,,43,69,0,
714468896848817072,"Locación para video, fotografía o capacitaciones",8367711,Andrés,,Miguel Hidalgo,19.429786176090595,-99.21350099711835,Entire home/apt,9429,1,0,,,4,331,0,
712539045223041839,Habitación con baño privado y balcón.,81902258,Alejandro,,Benito Juárez,19.39790245823313,-99.17173965117995,Private room,450,1,0,,,3,358,0,
714495332324316281,Mr. W | Taman | Super comfortable and bright 2Br,10764020,Mr. W,,Cuauhtémoc,19.40916524396492,-99.18091601195135,Entire home/apt,2396,1,0,,,207,364,0,
712596572739382193,Stylish Sunset Loft w/Terrace @ Roma & Juarez,4448056,Santiago,,Cuauhtémoc,19.42362512714424,-99.1537504301676,Entire home/apt,1190,1,0,,,3,262,0,
714501434597333541,Increible Departamento con Alberca y Gym,63380041,Saul,,Miguel Hidalgo,19.41056,-99.18356,Entire home/apt,1100,1,1,2022-09-18,1,1,355,1,
712673892822720893,"Habit. Privada c/ terraza Condesa, Chapultepec 24",185238567,Marco,,Cuauhtémoc,19.413200076277903,-99.17312642396584,Private room,230,2,0,,,17,363,0,
714508774899968570,Casa Cosimo. Habitación sencilla.,148697278,Carlos,,Miguel Hidalgo,19.456867760624693,-99.19864011463186,Private room,184,3,0,,,2,338,0,
714520178205262504,Precioso cuarto una cama,88365870,Anya,,Cuauhtémoc,19.423778192925997,-99.1723232133098,Private room,380,1,0,,,20,4,0,
712873995890775395,La Lupita Beige: ¡En el corazón de Coyoacán!,207397473,Yuriria,,Coyoacán,19.3475456,-99.1605561,Entire home/apt,951,2,0,,,6,353,0,
714527095054113834,Lovely and Central Loft with cozy balcony,68043281,Itzell,,Benito Juárez,19.38865630494407,-99.17669789937649,Entire home/apt,1190,2,1,2022-09-19,1,2,345,1,
712929573222093949,Cómodo cuarto de Narvarte,363533564,Annia,,Benito Juárez,19.3982373,-99.1593662,Private room,400,1,2,2022-09-18,2,1,333,2,
714547402473286780,Hermoso estudio con luz natural.,431776650,Mariana,,Coyoacán,19.355643923554364,-99.17307854931327,Private room,360,3,0,,,1,321,0,
714552737912115967,Private room near bus station from North,388164322,Alejandro,,Gustavo A. Madero,19.473706134274895,-99.13727392439033,Private room,1200,1,0,,,10,363,0,
712973673655512149,Cuarto de servicio en el techo con baño compartido,211695165,Kira,,Benito Juárez,19.385524,-99.18824699999999,Private room,159,14,0,,,1,365,0,
714558737667776737,Habitación 8,265257813,Valeria Constanza,,Álvaro Obregón,19.373900515709252,-99.21454963265559,Private room,240,3,0,,,2,365,0,
712996329552673246,Un rincón en la Condesa,31351127,Nayeli,,Cuauhtémoc,19.413579378571914,-99.17978374042661,Entire home/apt,756,15,0,,,1,282,0,
714565479341718294,"Habitación amplia, iluminada con cocineta y baño",124291598,Dalia,,Cuauhtémoc,19.42117,-99.17395,Private room,280,1,0,,,2,301,0,
713061732142862967,Habitación doble en Hotel Amari Boutique,178034362,Felix,,Miguel Hidalgo,19.43107,-99.1963,Private room,2400,1,0,,,7,350,0,
714565493530385582,"La Cibeles, Mini PH con terraza, Roma Norte, CDMX",103766721,Sara,,Cuauhtémoc,19.420338184760567,-99.16825325983463,Entire home/apt,1487,1,0,,,1,151,0,
713064714515875143,Cuarto compartido tipo hostal en la condesa,150617712,Andrea,,Cuauhtémoc,19.411650960195246,-99.18029182318413,Shared room,169,1,1,2022-09-15,1,20,365,1,
713079924022087710,Habitación doble en Hotel Boutique,178034362,Felix,,Miguel Hidalgo,19.429955028965974,-99.19630162654114,Private room,3600,1,0,,,7,352,0,
714571899713062703,Mr. W | Taman | 2Br Bright + Balcony + Roof Garden,10764020,Mr. W,,Cuauhtémoc,19.410148228979846,-99.1787862995155,Entire home/apt,2412,1,0,,,207,358,0,
713086655245220180,Stanza privata nel centro della Città del Messico,220532666,Laura,,Cuauhtémoc,19.45090940603948,-99.13006392069362,Private room,218,1,0,,,1,23,0,
713087037007635345,Habitación compartida tipo hostal en Condesa,150617712,Andrea,,Cuauhtémoc,19.40643984674768,-99.1750385884623,Shared room,169,1,0,,,20,361,0,
